idePesquisaDesenvolvimentoTema,numChamada,dscProjeto,vlrEstimado,numResolucao,mesReferencia,anoReferencia,dthProcessamento
1,001/2008,Modelo de Otimização do Despacho Hidrotérmico,21271615.92,316/2008,12,2018,30/04/2019 00:00:00
2,002/2008,Metodologia de Elaboração da Função de Custo do Déficit,5973450.00,316/2008,12,2018,30/04/2019 00:00:00
3,003/2008,Metodologia para Alocação dos Custos do Sistema de Transmissão,1043761.06,316/2008,12,2018,30/04/2019 00:00:00
4,004/2008,Ensaio de Transmissão de Energia em Linha de Pouco Mais de Meio Comprimento de Onda,2301404.99,316/2008,12,2018,30/04/2019 00:00:00
5,005/2008,Alternativas Não Convencionais para Transmissão de Energia Elétrica em Longas Distâncias,2769432.08,316/2008,12,2018,30/04/2019 00:00:00
6,006/2008,Aplicações de Novas Tecnologias em Sistemas de Transmissão,11715621.00,316/2008,12,2018,30/04/2019 00:00:00
7,007/2008,Metodologia para Determinação de Estratégia Ótima de Contratação Uso do Sist.de Transmissão (MUST),0.00,316/2008,12,2018,30/04/2019 00:00:00
8,008/2008,Metodologia para estabelecimento de estrutura tarifária,6544008.53,316/2008,12,2018,30/04/2019 00:00:00
9,009/2008,Monitoramento das Emissões de Gases de Efeito Estufa em Reservatórios de Usinas Hidrelétricas,23128073.35,316/2008,12,2018,30/04/2019 00:00:00
10,010/2008,Efeitos de Mudanças Climáticas no Regime Hidrológico de Bacias Hidrográficas e na Energia Assegurada de Aproveitamentos Hidrelétricos,13719039.92,316/2008,12,2018,30/04/2019 00:00:00
11,011/2010,Rede Elétrica Inteligente (Smart Grid),8700632.43,316/2008,12,2018,30/04/2019 00:00:00
12,012/2010,Arranjos Técnicos e Comerciais para um Mercado Sulamericano de Energia Elétrica,14609325.80,316/2008,12,2018,30/04/2019 00:00:00
13,013/2011,Arranjos Técnicos e Comerciais para Inserção da Geração Solar Fotovoltaica na Matriz Energética,396219366.60,316/2008,12,2018,30/04/2019 00:00:00
14,014/2012,Arranjos Técnicos e Comerciais para Inserção da Geração de Energia Elétrica a partir do Biogás oriundo de Resíduos e Efluentes Liquidos na Matriz Energética Brasileira,422621143.72,316/2008,12,2018,30/04/2019 00:00:00
15,015/2013,Gestão dos Impactos de Eventos Climáticos Severos no Setor de Energia Elétrica,10000000.00,316/2008,12,2018,30/04/2019 00:00:00
16,016/2013,Sistema de Monitoramento da Qualidade da Energia Elétrica,9486988.43,316/2008,12,2018,30/04/2019 00:00:00
17,017/2013,Desenvolvimento de Tecnologia Nacional de Geração Eólica,253226771.94,316/2008,12,2018,30/04/2019 00:00:00
18,018/2013,SIASE - Sistema de Inteligência Analítica do Setor Elétrico,2049700.98,316/2008,12,2018,30/04/2019 00:00:00
19,019/2015,Desenvolvimento de Tecnologia Nacional de Geração Heliotérmica de Energia Elétrica,256180920.76,316/2008,12,2018,30/04/2019 00:00:00
20,020/2016, Aprimoramento do Ambiente de Negócios do Setor Elétrico Brasileiro,30100000.00,316/2008,12,2018,30/04/2019 00:00:00
21,021/2016, Arranjos Técnicos e Comerciais para a Inserção de Sistemas de Armazenamento de Energia no Setor Elétrico Brasileiro,406000000.00,316/2008,12,2018,30/04/2019 00:00:00
22,001/2016, Chamada de Projeto Prioritário de Eficiência Energética e Estratégico de Pesquisa e Desenvolvimento nº 01/2016 ? ?Eficiência Energética e Minigeração em Instituições Públicas de Educação Superior?.,136716451.72,316/2008,12,2018,30/04/2019 00:00:00
